Image_name	Species	Structure_and_view	image_dir
#####	#####	#####	#####	
#####	#####	#####	#####	
#####	#####	#####	#####	
#####	#####	#####	#####	
#####	#####	#####	#####	
#####	#####	#####	#####	
INVTUXV212fphabdTXV058_70X_Z10.jpg	Globignatha sedgwicki	Habitus dorsal view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fphabdTXV058_70X_Z10.jpg
INVTUXV212fphablTXV058_70X_Z10.jpg	Globignatha sedgwicki	Habitus lateral view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fphablTXV058_70X_Z10.jpg
INVTUXV212fphabvTXV058_70X_Z10.jpg	Globignatha sedgwicki	Habitus ventral view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fphabvTXV058_70X_Z10.jpg
INVTUXV212fpprsaTXV058_100X_E2B.jpg	Globignatha sedgwicki	Prosoma anterior view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fpprsaTXV058_100X_E2B.jpg
INVTUXV212fcepivTXV058_400X_E2B.jpg	Globignatha sedgwicki	Epigynum ventral view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fcepivTXV058_400X_E2B.jpg
INVTUXV212fcepidTXV058_400X_E2B.jpg	Globignatha sedgwicki	Epigynum dorsal view	../../Images/Symphytognathidae/Globignatha/sedgwicki/INVTUXV212fcepidTXV058_400X_E2B.jpg
INVTUXV215fphabdTXV573_40X_Z10.jpg	Chthonos sp01	Habitus dorsal view	../../Images/Theridiosomatidae/Chthonos/sp01/INVTUXV215fphabdTXV573_40X_Z10.jpg
INVTUXV215fphablTXV573_40X_Z10.jpg	Chthonos sp01	Habitus lateral view	../../Images/Theridiosomatidae/Chthonos/sp01/INVTUXV215fphablTXV573_40X_Z10.jpg
INVTUXV215fphabvTXV573_40X_Z10.jpg	Chthonos sp01	Habitus ventral view	../../Images/Theridiosomatidae/Chthonos/sp01/INVTUXV215fphabvTXV573_40X_Z10.jpg
INVTUXV215fpprsaTXV573_100X_Z10.jpg	Chthonos sp01	Prosoma anterior view	../../Images/Theridiosomatidae/Chthonos/sp01/INVTUXV215fpprsaTXV573_100X_Z10.jpg
INVTUXV215fpepivTXV573_100X_Z10.jpg	Chthonos sp01	Epigynum ventral view	../../Images/Theridiosomatidae/Chthonos/sp01/INVTUXV215fpepivTXV573_100X_Z10.jpg
INVTUXV213fphabdTXV084_50X_Z10.jpg	Epilineutes sp01	Habitus dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213fphabdTXV084_50X_Z10.jpg
INVTUXV213fphablTXV084_50X_Z10.jpg	Epilineutes sp01	Habitus lateral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213fphablTXV084_50X_Z10.jpg
INVTUXV213fphabvTXV084_50X_Z10.jpg	Epilineutes sp01	Habitus ventral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213fphabvTXV084_50X_Z10.jpg
INVTUXV213fpprsaTXV084_100X_E2B.jpg	Epilineutes sp01	Prosoma anterior view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213fpprsaTXV084_100X_E2B.jpg
